Date,Name,Year,Letterboxd URI,Rating
2021-09-07,Happy Together,1997,https://boxd.it/1Ha0,5
2021-09-07,Fallen Angels,1995,https://boxd.it/1UkW,4
2021-09-07,Chungking Express,1994,https://boxd.it/1UDa,5
2021-09-07,The King of Comedy,1982,https://boxd.it/2aJS,4
2021-09-07,"Black God, White Devil",1964,https://boxd.it/2fmY,4
2021-09-07,Mystic River,2003,https://boxd.it/2aAG,1
2021-09-07,"Paris, Texas",1984,https://boxd.it/29Ts,2
2021-09-07,One Hundred and One Dalmatians,1961,https://boxd.it/1SeC,3
2021-09-09,Masculin Féminin,1966,https://boxd.it/23UY,3
2021-09-09,Joker,2019,https://boxd.it/h4cS,3
2021-09-09,Comet,2014,https://boxd.it/8r08,5
2021-09-10,The Matrix,1999,https://boxd.it/2a1m,5
2021-09-11,Days of Being Wild,1990,https://boxd.it/1HbC,5
2021-09-19,The Suicide Squad,2021,https://boxd.it/fw6O,3
2021-09-19,Parasite,2019,https://boxd.it/hTha,5
2021-09-20,Lost in Translation,2003,https://boxd.it/2b0E,3
2021-09-22,Il Mare,2000,https://boxd.it/1RuO,4
2021-09-23,The Grandmaster,2013,https://boxd.it/QU0,4
2021-09-30,My Blueberry Nights,2007,https://boxd.it/27H0,4
2021-10-01,Moonlight,2016,https://boxd.it/d6bE,5
2021-10-06,Brokeback Mountain,2005,https://boxd.it/2b2q,4
2021-10-06,I Lost My Body,2019,https://boxd.it/lAYs,4
2021-10-08,Ex Machina,2014,https://boxd.it/7T2k,5
2021-10-10,As Tears Go By,1988,https://boxd.it/1ybI,5
2021-10-12,I May Destroy You,2020,https://boxd.it/qX9i,5
2021-10-15,Ashes of Time,1994,https://boxd.it/111K,3
2021-10-18,Over the Garden Wall,2014,https://boxd.it/eqFw,5
2021-10-19,Punch-Drunk Love,2002,https://boxd.it/20E4,5
2021-10-21,Like Someone in Love,2012,https://boxd.it/3tOu,4
2021-10-22,At Midnight I'll Take Your Soul,1964,https://boxd.it/1kje,5
2021-10-23,Once,2007,https://boxd.it/22GG,5
2021-10-23,Batman Ninja,2018,https://boxd.it/hwle,3
2021-10-23,Coco,2017,https://boxd.it/bYJQ,5
2021-10-31,Arrival,2016,https://boxd.it/aNGk,5
2021-10-31,Happy Death Day,2017,https://boxd.it/fDz4,4
2021-10-31,The 40 Year Old Virgin,2005,https://boxd.it/21hK,4
2021-11-01,But I'm a Cheerleader,1999,https://boxd.it/1CW4,5
2021-11-01,Coraline,2009,https://boxd.it/1NhQ,4
2021-11-01,The Witch,2015,https://boxd.it/9X0m,4
2021-11-01,Halloween,1978,https://boxd.it/2wRu,4
2021-11-02,What If,2013,https://boxd.it/6ljk,5
2021-11-02,50 First Dates,2004,https://boxd.it/285c,5
2021-11-03,Foreign Land,1995,https://boxd.it/lOg,5
2021-11-04,Ana e Vitória,2018,https://boxd.it/jjAa,4
2021-11-17,Sing Street,2016,https://boxd.it/cOo6,4
2021-11-17,Sound of Metal,2019,https://boxd.it/i7Q4,4
2021-11-22,Dune,1984,https://boxd.it/29tY,2
2021-11-22,Happy Death Day 2U,2019,https://boxd.it/ixt6,4
